comparison,version,true_apis,false_apis,napps,keywords
<=,10,android.view.View.getMeasuredWidth()I&android.view.View.getMeasuredHeight()I&android.graphics.Rect.<init>()V&android.graphics.Matrix.mapPoints([F)V&android.view.MotionEvent.getY()F&android.view.MotionEvent.getX()F&android.graphics.Matrix.mapRect(Landroid/graphics/RectF;)Z&android.graphics.Rect.set(IIII)V&android.view.MotionEvent.setLocation(FF)V&android.graphics.Matrix.setRotate(FFF)V&android.view.View.getScrollX()I&android.view.View.getScrollY()I&android.graphics.RectF.<init>(Landroid/graphics/Rect;)V&android.graphics.Rect.set(Landroid/graphics/Rect;)V&android.graphics.Matrix.<init>()V,android.graphics.Matrix.mapRect(Landroid/graphics/RectF;)Z&android.graphics.Rect.set(IIII)V&android.view.View.getMeasuredWidth()I&android.view.View.getMeasuredHeight()I&android.graphics.Matrix.setRotate(FFF)V&android.view.View.getScrollX()I&android.graphics.Rect.<init>()V&android.view.View.getScrollY()I&android.graphics.RectF.<init>(Landroid/graphics/Rect;)V&android.graphics.Rect.set(Landroid/graphics/Rect;)V&android.graphics.Matrix.<init>()V,1,"directly imported OSM branch of Mapbox Android SDK  (among: 2, score: 0.006493506493506494) |||  (among: 2, score: 1.0e-08) ||| "
<=,10,android.widget.ArrayAdapter.add(Ljava/lang/Object;)V,android.widget.ArrayAdapter.addAll(Ljava/util/Collection;)V,2, ||| 
<=,10,android.widget.ProgressBar.getIndeterminateDrawable()Landroid/graphics/drawable/Drawable;&android.graphics.drawable.Drawable.setColorFilter(ILandroid/graphics/PorterDuff$Mode;)V&android.widget.ProgressBar.getProgressDrawable()Landroid/graphics/drawable/Drawable;,android.widget.AbsSeekBar.getThumb()Landroid/graphics/drawable/Drawable;&android.widget.AbsSeekBar.setThumb(Landroid/graphics/drawable/Drawable;)V&android.widget.ProgressBar.setProgressDrawable(Landroid/graphics/drawable/Drawable;)V&android.support.v4.graphics.drawable.DrawableCompat.setTintList(Landroid/graphics/drawable/Drawable;Landroid/content/res/ColorStateList;)V&android.widget.ProgressBar.getProgressDrawable()Landroid/graphics/drawable/Drawable;&android.support.v4.graphics.drawable.DrawableCompat.wrap(Landroid/graphics/drawable/Drawable;)Landroid/graphics/drawable/Drawable;,1, ||| 
<=,10,"",android.view.ViewGroup.getChildAt(I)Landroid/view/View;&android.support.v4.view.PagerAdapter.startUpdate(Landroid/view/ViewGroup;)V&android.view.View.getLayoutParams()Landroid/view/ViewGroup$LayoutParams;&android.support.v4.view.PagerAdapter.getPageWidth(I)F&android.support.v4.view.PagerAdapter.instantiateItem(Landroid/view/ViewGroup;I)Ljava/lang/Object;&android.view.View.getRight()I&android.view.View.getHeight()I&android.view.View.getPaddingBottom()I&android.widget.Scroller.getCurrY()I&android.graphics.Rect.set(IIII)V&android.support.v4.view.ViewPager$OnPageChangeListener.onPageScrollStateChanged(I)V&android.view.View.getParent()Landroid/view/ViewParent;&android.view.View.getScrollX()I&android.support.v4.view.PagerAdapter.getCount()I&android.view.View.requestLayout()V&android.support.v4.view.PagerAdapter.setPrimaryItem(Landroid/view/ViewGroup;ILjava/lang/Object;)V&android.support.v4.view.KeyEventCompat.hasModifiers(Landroid/view/KeyEvent;I)Z&android.support.v4.view.PagerAdapter.isViewFromObject(Landroid/view/View;Ljava/lang/Object;)Z&android.view.View.getBottom()I&android.support.v4.view.PagerAdapter.destroyItem(Landroid/view/ViewGroup;ILjava/lang/Object;)V&android.view.ViewGroup.hasFocus()Z&android.support.v4.view.ViewPager$PageTransformer.transformPage(Landroid/view/View;F)V&android.view.View.getPaddingTop()I&android.view.View.playSoundEffect(I)V&android.support.v4.view.ViewPager$OnPageChangeListener.onPageSelected(I)V&android.support.v4.view.PagerAdapter.finishUpdate(Landroid/view/ViewGroup;)V&android.view.View.offsetTopAndBottom(I)V&android.support.v4.view.ViewCompat.postOnAnimation(Landroid/view/View;Ljava/lang/Runnable;)V&android.view.SoundEffectConstants.getContantForFocusDirection(I)I&android.widget.Scroller.startScroll(IIIII)V&android.view.View.getMeasuredHeight()I&android.graphics.Rect.<init>()V&android.view.ViewGroup.findFocus()Landroid/view/View;&android.view.View.getPaddingRight()I&android.view.View.getTop()I&android.support.v4.view.ViewCompat.setLayerType(Landroid/view/View;ILandroid/graphics/Paint;)V&android.widget.Scroller.abortAnimation()V&android.view.View.getId()I&android.content.res.Resources.getResourceName(I)Ljava/lang/String;&android.support.v4.view.ViewCompat.postInvalidateOnAnimation(Landroid/view/View;)V&android.view.FocusFinder.getInstance()Landroid/view/FocusFinder;&android.view.View.getLeft()I&android.view.ViewParent.getParent()Landroid/view/ViewParent;&android.view.View.requestFocus(I)Z&android.support.v4.view.ViewPager$OnPageChangeListener.onPageScrolled(IFI)V&android.view.View.scrollTo(II)V&android.widget.Scroller.getCurrX()I&android.view.View.getPaddingLeft()I&android.view.View.getResources()Landroid/content/res/Resources;&android.view.FocusFinder.findNextFocus(Landroid/view/ViewGroup;Landroid/view/View;I)Landroid/view/View;&android.view.View.getWindowToken()Landroid/os/IBinder;&android.view.ViewGroup.getChildCount()I&android.view.View.getScrollY()I&android.support.v4.view.KeyEventCompat.hasNoModifiers(Landroid/view/KeyEvent;)Z&android.view.View.requestFocus()Z,1, ||| 
<=,10,"",android.view.ViewGroup.getChildAt(I)Landroid/view/View;&android.support.v4.view.PagerAdapter.startUpdate(Landroid/view/ViewGroup;)V&android.view.View.getLayoutParams()Landroid/view/ViewGroup$LayoutParams;&android.support.v4.view.PagerAdapter.getPageWidth(I)F&android.support.v4.view.PagerAdapter.instantiateItem(Landroid/view/ViewGroup;I)Ljava/lang/Object;&android.view.View.getMeasuredHeight()I&android.view.View.getPaddingRight()I&android.view.ViewGroup.findFocus()Landroid/view/View;&android.view.View.getPaddingBottom()I&android.view.View.getId()I&android.content.res.Resources.getResourceName(I)Ljava/lang/String;&android.view.View.getParent()Landroid/view/ViewParent;&android.support.v4.view.PagerAdapter.getCount()I&android.support.v4.view.PagerAdapter.setPrimaryItem(Landroid/view/ViewGroup;ILjava/lang/Object;)V&android.support.v4.view.PagerAdapter.isViewFromObject(Landroid/view/View;Ljava/lang/Object;)Z&android.support.v4.view.PagerAdapter.destroyItem(Landroid/view/ViewGroup;ILjava/lang/Object;)V&android.view.ViewGroup.hasFocus()Z&android.view.View.requestFocus(I)Z&android.view.View.getPaddingTop()I&android.support.v4.view.PagerAdapter.finishUpdate(Landroid/view/ViewGroup;)V&android.view.View.getPaddingLeft()I&android.view.View.getResources()Landroid/content/res/Resources;&android.view.View.getWindowToken()Landroid/os/IBinder;&android.view.ViewGroup.getChildCount()I,2,"Changes to viewpager readers  (among: 2, score: 0.08333333333333333) |||  (among: 2, score: 1.0e-08) ||| "
<=,10,"",android.os.StrictMode$ThreadPolicy$Builder.penaltyFlashScreen()Landroid/os/StrictMode$ThreadPolicy$Builder;&android.os.StrictMode$VmPolicy$Builder.setClassInstanceLimit(Ljava/lang/Class;I)Landroid/os/StrictMode$VmPolicy$Builder;,1, ||| 
<=,10,android.content.ContextWrapper.getContentResolver()Landroid/content/ContentResolver;&android.support.v4.app.Fragment.getActivity()Landroid/support/v4/app/FragmentActivity;&android.provider.ContactsContract$Contacts.lookupContact(Landroid/content/ContentResolver;Landroid/net/Uri;)Landroid/net/Uri;,"",1, ||| 
<=,10,android.net.Uri.withAppendedPath(Landroid/net/Uri;Ljava/lang/String;)Landroid/net/Uri;,android.net.Uri.parse(Ljava/lang/String;)Landroid/net/Uri;,1, ||| 
<=,10,"",android.graphics.Bitmap.isRecycled()Z,1, ||| 
<=,10,android.view.animation.Animation.setAnimationListener(Landroid/view/animation/Animation$AnimationListener;)V&android.view.animation.ScaleAnimation.<init>(FFFFIFIF)V&android.view.animation.Animation.setDuration(J)V,android.animation.ValueAnimator.addUpdateListener(Landroid/animation/ValueAnimator$AnimatorUpdateListener;)V&android.animation.ValueAnimator.ofFloat([F)Landroid/animation/ValueAnimator;&android.animation.ValueAnimator.setDuration(J)Landroid/animation/ValueAnimator;&android.animation.Animator.addListener(Landroid/animation/Animator$AnimatorListener;)V,3, ||| 
<=,10,android.view.View.clearAnimation()V&android.view.animation.Animation.reset()V,"",1, ||| 
<=,10,android.view.View.clearAnimation()V,android.animation.Animator.end()V,1, ||| 
<=,10,android.view.View.startAnimation(Landroid/view/animation/Animation;)V,android.animation.ValueAnimator.start()V,2, ||| 
<=,10,android.graphics.Matrix.invert(Landroid/graphics/Matrix;)Z&android.graphics.Matrix.set(Landroid/graphics/Matrix;)V&android.graphics.Point.<init>()V&android.graphics.Rect.<init>()V&android.view.View.getHeight()I&android.graphics.Matrix.mapPoints([F)V&android.view.MotionEvent.getY()F&android.view.View.getWidth()I&android.view.MotionEvent.getX()F&android.graphics.Rect.set(IIII)V&android.view.MotionEvent.setLocation(FF)V&android.view.View.getScrollX()I&android.graphics.Point.set(II)V&android.graphics.Rect.centerY()I&android.view.View.getScrollY()I&android.graphics.Rect.centerX()I&android.graphics.Matrix.<init>()V,android.graphics.Rect.set(IIII)V&android.graphics.Matrix.invert(Landroid/graphics/Matrix;)Z&android.graphics.Matrix.set(Landroid/graphics/Matrix;)V&android.graphics.Rect.<init>()V&android.view.View.getHeight()I&android.view.View.getScrollX()I&android.graphics.Rect.centerY()I&android.view.View.getScrollY()I&android.view.View.getWidth()I&android.graphics.Rect.centerX()I&android.graphics.Matrix.<init>()V,1, ||| 
<=,10,"",android.view.View.setLayerType(ILandroid/graphics/Paint;)V&android.view.View.isHardwareAccelerated()Z&android.view.View.getLayerType()I,1, ||| 
<=,10,android.preference.Preference.setWidgetLayoutResource(I)V,"",1, ||| 
<=,10,"",android.support.v7.app.ActionBar.setDisplayHomeAsUpEnabled(Z)V&android.support.v7.app.AppCompatActivity.getSupportActionBar()Landroid/support/v7/app/ActionBar;,4,"Settings screen with Notifications checkbox. #279 (#389)  (among: 6, score: 0.1111111111111111) ||| Reformat all files with project code style. #346 (#369)  (among: 6, score: 0.002785515320334262) ||| Remove unused imports, tidy up db logic  (among: 6, score: 0.05263157894736842) ||| filter list dialog -> activity  (among: 6, score: 0.03225806451612903) ||| first cut at changing map settings to own dialog, combining with maptile settings. template for clarifying main settings mage, modularizing settings that appear in more than one place.  (among: 6, score: 0.02857142857142857) |||  (among: 6, score: 1.0e-08) ||| "
<=,10,"",android.view.MenuItem.isEnabled()Z,1, ||| 
<=,10,"",android.view.View.isEnabled()Z,1, ||| 
<=,10,"",android.view.View.setActivated(Z)V,3,"Migrated most ListViews to RecyclerViews - Use ConcatAdapter to replace header View in PersonInfoListFragment - Use MultiChoiceHelper to implement MultiChoiceMode in RecyclerView - Instances of TracksListFragment share a common RecycledViewPool to lower memory usage.  (among: 2, score: 0.041666666666666664) |||  (among: 2, score: 1.0e-08) ||| "
<=,10,"",android.view.MenuItem.setIcon(I)Landroid/view/MenuItem;&android.view.Menu.findItem(I)Landroid/view/MenuItem;,1,"Added a vector drawable rotation animation when pressing the refresh button  (among: 2, score: 0.25) |||  (among: 2, score: 1.0e-08) ||| "
<=,10,android.app.Activity.finish()V&android.app.Activity.startActivity(Landroid/content/Intent;)V&android.app.Activity.getIntent()Landroid/content/Intent;,android.app.Activity.recreate()V,2,"Add 2.1+ support  (among: 3, score: 0.034482758620689655) |||  (among: 3, score: 1.0e-08) ||| "
<=,10,android.widget.ArrayAdapter.setDropDownViewResource(I)V&android.widget.Spinner.setAdapter(Landroid/widget/SpinnerAdapter;)V&android.widget.ArrayAdapter.createFromResource(Landroid/content/Context;II)Landroid/widget/ArrayAdapter;,"",1,"Fix spinner day selector look on SDKs < 11  (among: 2, score: 1.0) |||  (among: 2, score: 1.0e-08) ||| "
<=,10,"",android.widget.AbsSeekBar.getThumb()Landroid/graphics/drawable/Drawable;&android.widget.AbsSeekBar.setThumb(Landroid/graphics/drawable/Drawable;)V&android.widget.ProgressBar.setProgressDrawable(Landroid/graphics/drawable/Drawable;)V&android.support.v4.graphics.drawable.DrawableCompat.setTintList(Landroid/graphics/drawable/Drawable;Landroid/content/res/ColorStateList;)V&android.widget.ProgressBar.getProgressDrawable()Landroid/graphics/drawable/Drawable;&android.support.v4.graphics.drawable.DrawableCompat.wrap(Landroid/graphics/drawable/Drawable;)Landroid/graphics/drawable/Drawable;,2, ||| 
<=,10,android.widget.ProgressBar.getIndeterminateDrawable()Landroid/graphics/drawable/Drawable;&android.graphics.drawable.Drawable.setColorFilter(ILandroid/graphics/PorterDuff$Mode;)V&android.widget.ProgressBar.getProgressDrawable()Landroid/graphics/drawable/Drawable;,"",3, ||| 
